2025-10-18 09:48:03,557 | INFO | src.logger:info:42 | Starting Weather ETL Pipeline with command: run
2025-10-18 09:48:03,575 | INFO | src.logger:info:42 | Starting Weather ETL Pipeline
2025-10-18 09:48:03,575 | INFO | src.logger:info:42 | Processing 5 locations
2025-10-18 09:48:03,955 | ERROR | src.logger:error:50 | Failed to fetch weather data for Colombo,Sri Lanka: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?appid=dd0c15cfa7c0f385e46fba5e11b424a1&q=Colombo%2CSri+Lanka
2025-10-18 09:48:03,955 | WARNING | src.logger:warning:46 | Attempt 1 failed for Colombo,Sri Lanka. Retrying in 5 seconds...
2025-10-18 09:48:09,176 | ERROR | src.logger:error:50 | Failed to fetch weather data for Colombo,Sri Lanka: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?appid=dd0c15cfa7c0f385e46fba5e11b424a1&q=Colombo%2CSri+Lanka
2025-10-18 09:48:09,176 | WARNING | src.logger:warning:46 | Attempt 2 failed for Colombo,Sri Lanka. Retrying in 5 seconds...
2025-10-18 09:48:14,389 | ERROR | src.logger:error:50 | Failed to fetch weather data for Colombo,Sri Lanka: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?appid=dd0c15cfa7c0f385e46fba5e11b424a1&q=Colombo%2CSri+Lanka
2025-10-18 09:48:14,390 | ERROR | src.logger:error:50 | All retries failed for Colombo,Sri Lanka: API request failed: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?appid=dd0c15cfa7c0f385e46fba5e11b424a1&q=Colombo%2CSri+Lanka
2025-10-18 09:48:14,646 | ERROR | src.logger:error:50 | Failed to fetch weather data for London,UK: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?appid=dd0c15cfa7c0f385e46fba5e11b424a1&q=London%2CUK
2025-10-18 09:48:14,646 | WARNING | src.logger:warning:46 | Attempt 1 failed for London,UK. Retrying in 5 seconds...
2025-10-18 09:48:19,869 | ERROR | src.logger:error:50 | Failed to fetch weather data for London,UK: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?appid=dd0c15cfa7c0f385e46fba5e11b424a1&q=London%2CUK
2025-10-18 09:48:19,869 | WARNING | src.logger:warning:46 | Attempt 2 failed for London,UK. Retrying in 5 seconds...
2025-10-18 09:48:25,128 | ERROR | src.logger:error:50 | Failed to fetch weather data for London,UK: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?appid=dd0c15cfa7c0f385e46fba5e11b424a1&q=London%2CUK
2025-10-18 09:48:25,129 | ERROR | src.logger:error:50 | All retries failed for London,UK: API request failed: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?appid=dd0c15cfa7c0f385e46fba5e11b424a1&q=London%2CUK
2025-10-18 09:48:25,410 | ERROR | src.logger:error:50 | Failed to fetch weather data for New York,US: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?appid=dd0c15cfa7c0f385e46fba5e11b424a1&q=New+York%2CUS
2025-10-18 09:48:25,410 | WARNING | src.logger:warning:46 | Attempt 1 failed for New York,US. Retrying in 5 seconds...
2025-10-18 09:48:30,654 | ERROR | src.logger:error:50 | Failed to fetch weather data for New York,US: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?appid=dd0c15cfa7c0f385e46fba5e11b424a1&q=New+York%2CUS
2025-10-18 09:48:30,655 | WARNING | src.logger:warning:46 | Attempt 2 failed for New York,US. Retrying in 5 seconds...
2025-10-18 09:48:35,885 | ERROR | src.logger:error:50 | Failed to fetch weather data for New York,US: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?appid=dd0c15cfa7c0f385e46fba5e11b424a1&q=New+York%2CUS
2025-10-18 09:48:35,885 | ERROR | src.logger:error:50 | All retries failed for New York,US: API request failed: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?appid=dd0c15cfa7c0f385e46fba5e11b424a1&q=New+York%2CUS
